	Chemical Name	CAS Number	U.S. EPA PC Code	CA Chem Code	Use Type	Chemical Class	U.S. EPA Registered	WHO 1a	WHO 1b	Rotterdam Annex III	Stockholm Annex A	Stockholm Annex B
52	Lead arsenate	7784-40-9, 10102-48-4, 53404-12-9	013503, 013503	353	Herbicide, Insecticide, Rodenticide	Inorganic-arsenic, Inorganic-Lead, Heavy metal	False	False	True	False	False	False
53	Mercuric oxide	21908-53-2	052102, 052102	955	Fungicide	Inorganic-Mercury, Heavy metal	False	False	True	True	False	False
54	Methamidophos	10265-92-6	101201, 101201	1697	Insecticide, Breakdown product	Organophosphorus	False	False	True	True	False	False
55	Methidathion	950-37-8	100301, 100301	1689	Insecticide	Organophosphorus	False	False	True	False	False	False
56	Methiocarb	2032-65-7	100501, 100501	375	Insecticide, Molluscicide	N-Methyl Carbamate	True	False	True	False	False	False
57	Methomyl	16752-77-5	090301, 549400, 090301, 549400	383	Insecticide, Breakdown product	N-Methyl Carbamate	True	False	True	False	False	False
58	Miral	42509-80-8	126901, 124101, 126901, 124101	2282, 2689	Insecticide	Organophosphorus	False	False	True	False	False	False
59	Monocrotophos	6923-22-4	058901, 058901	52	Insecticide	Organophosphorus	False	False	True	True	False	False
60	Nicotine	54-11-5	056702, 056702	75	Insecticide	Botanical	False	False	True	False	False	False
61	Omethoate	1113-02-6	035002, 035002	2285	Insecticide, Breakdown product	Organophosphorus	False	False	True	False	False	False
62	Oxamyl	23135-22-0	103801, 103801	1910	Insecticide, Nematicide	N-Methyl Carbamate	True	False	True	False	False	False
63	Oxydemeton-methyl	301-12-2	058702, 058702	382	Insecticide	Organophosphorus	False	False	True	False	False	False
64	PCP	87-86-5, 87-85-4	063001, 600021, 063001, 600021	465	Wood Preservative, Microbiocide, Algaecide, Fungicide, Molluscicide	Chlorinated Phenol	False	False	True	True	False	False
65	Pindone	83-26-1	067703, 067703	489	Rodenticide	1,3-Indandione	False	False	True	False	False	False
66	Pirimiphos ethyl	23505-41-1	108101, 108101	2781	Insecticide	Organophosphorus	False	False	True	False	False	False
67	Propetamphos	31218-83-4	113601, 216800, 113601, 216800	2122	Insecticide	Organophosphorus	False	False	True	False	False	False
68	Sodium arsenite	7784-46-5	013603, 013603	534	Herbicide, Insecticide, Rodenticide, Fungicide	Inorganic-arsenic, Heavy metal	False	False	True	False	False	False
