,Unnamed: 0,Chemical Name,CAS Number,U.S. EPA PC Code,CA Chem Code,Use Type,Chemical Class,U.S. EPA Registered,WHO 1a,WHO 1b,Rotterdam Annex III,Stockholm Annex A,Stockholm Annex B
50,49,Fenamiphos,31972-43-7,"100601, 100601",1857,"Insecticide, Nematicide",Organophosphorus,False,False,True,False,False,False
51,50,Flucythrinate,70124-77-5,"118301, 118301",2168,Insecticide,Pyrethroid,False,False,True,False,False,False
52,51,Isofenphos,99675-03-3,"109401, 512400, 109401, 512400",2194,Insecticide,Organophosphorus,False,False,True,False,False,False
53,52,Lead arsenate,1327-31-7,"013503, 013503",353,"Herbicide, Insecticide, Rodenticide","Inorganic-arsenic, Inorganic-Lead, Heavy metal",False,False,True,False,False,False
54,53,Mercuric oxide,21908-53-2,"052102, 052102",955,Fungicide,"Inorganic-Mercury, Heavy metal",False,False,True,True,False,False
55,54,Methamidophos,10265-92-6,"101201, 101201",1697,"Insecticide, Breakdown product",Organophosphorus,False,False,True,True,False,False
56,55,Methidathion,Not Listed,"100301, 100301",1689,Insecticide,Organophosphorus,False,False,True,False,False,False
57,56,Methiocarb,Not Listed,"100501, 100501",375,"Insecticide, Molluscicide",N-Methyl Carbamate,True,False,True,False,False,False
58,57,Methomyl,13749-94-5,"090301, 549400, 090301, 549400",383,"Insecticide, Breakdown product",N-Methyl Carbamate,True,False,True,False,False,False
59,58,Miral,42509-80-8,"126901, 124101, 126901, 124101","2282, 2689",Insecticide,Organophosphorus,False,False,True,False,False,False
60,59,Monocrotophos,Not Listed,"058901, 058901",52,Insecticide,Organophosphorus,False,False,True,True,False,False
61,60,Nicotine,65-30-5,"056702, 056702",75,Insecticide,Botanical,False,False,True,False,False,False
62,61,Omethoate,1113-02-6,"035002, 035002",2285,"Insecticide, Breakdown product",Organophosphorus,False,False,True,False,False,False
63,62,Oxamyl,23135-22-0,"103801, 103801",1910,"Insecticide, Nematicide",N-Methyl Carbamate,True,False,True,False,False,False
64,63,Oxydemeton-methyl,301-12-2,"058702, 058702",382,Insecticide,Organophosphorus,False,False,True,False,False,False
65,64,PCP,Not Listed,"063001, 600021, 063001, 600021",465,"Wood Preservative, Microbiocide, Algaecide, Fungicide, Molluscicide",Chlorinated Phenol,False,False,True,True,False,False
66,65,Pindone,6120-20-3,"067703, 067703",489,Rodenticide,"1,3-Indandione",False,False,True,False,False,False
67,66,Pirimiphos ethyl,36378-61-7,"108101, 108101",2781,Insecticide,Organophosphorus,False,False,True,False,False,False
68,67,Propetamphos,31218-83-4,"113601, 216800, 113601, 216800",2122,Insecticide,Organophosphorus,False,False,True,False,False,False
69,68,Sodium arsenite,7784-46-5,"013603, 013603",534,"Herbicide, Insecticide, Rodenticide, Fungicide","Inorganic-arsenic, Heavy metal",False,False,True,False,False,False
70,69,Sodium cyanide,143-33-9,"074002, 074002",688,Rodenticide,Inorganic,True,False,True,False,False,False
71,70,Strychnine,60-41-3,"076901, 076901",554,"Rodenticide, Avicide",Botanical,True,False,True,False,False,False
72,71,Tefluthrin,Not Listed,"128912, 128912",3839,Insecticide,Pyrethroid,False,False,True,False,False,False
73,72,Thiofanox,39196-18-4,"109201, 453400, 109201, 453400",2938,Insecticide,N-Methyl Carbamate,False,False,True,False,False,False
74,73,Triazofos,24017-47-8,"344600, 344600",3543,Insecticide,Organophosphorus,False,False,True,False,False,False
75,74,Vamidothion,2275-23-2,"379200, 379200",3544,Insecticide,Organophosphorus,False,False,True,False,False,False
76,75,Warfarin,129-06-6,"086002, 086002",621,Rodenticide,Coumarin,True,False,True,False,False,False
77,76,Zinc phosphide,1314-84-7,"088601, 088601",626,Rodenticide,Inorganic-Zinc,True,False,True,False,False,False
78,77,"2,4,5-T",1928-48-9,"082001, 082001",639,Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
79,77,"2,4,5-T",7173-98-0,"082001, 082001",639,Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
80,78,"2,4,5-T, 2-ethylhexyl ester",53404-87-8,"082063, 082063",1092,Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
81,79,"2,4,5-T, alkylamine salt",25168-15-4,"082013, 082013","818, 1989",Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
82,80,"2,4,5-T, butoxyethanol ester",53404-84-5,"082053, 082072, 082053, 082072",819,Herbicide,"Chlorophenoxy acid, salt, or ester, Glycol Ether",False,False,False,True,False,False
83,81,"2,4,5-T, butyl ester",6369-97-7,"082056, 082056",822,Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
84,82,"2,4,5-T, dimethylamine salt",93-79-8,"082019, 082019",1474,Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
85,83,"2,4,5-T, dodecylamine salt",2545-59-7,"082011, 082011",1988,Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
86,84,"2,4,5-T, N-oleyl-1,3-propylenediamine salt",1928-47-8,"082029, 082029",1097,Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
87,85,"2,4,5-T, propylene glycol butyl ether ester",93-76-5,"082055, 082055","824, 820",Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
88,86,"2,4,5-T, triethylamine salt",2008-46-0,"082034, 082034",850,Herbicide,"Chlorophenoxy acid, salt, or ester",False,False,False,True,False,False
89,87,Aldrin,Not Listed,"045101, 045101",9,Insecticide,Organochlorine,False,False,False,True,True,False
90,88,Aroclor 1254,11097-69-1,"017801, 203600, 817801, 017801, 203600",5003,"Electronics production, Paints, coatings, resins, Building materials, Industrial chemical",Organochlorine,False,False,False,True,False,False
91,88,Aroclor 1254,1336-36-3,"017801, 203600, 817801, 017801, 203600",5003,"Electronics production, Paints, coatings, resins, Building materials, Industrial chemical",Organochlorine,False,False,False,True,False,False
92,89,Asbestos,12001-28-4,"099301, 099301",2398,"Building materials, Flame retardant",Inorganic,False,False,False,True,False,False
93,89,Asbestos,12172-73-5,"099301, 099301",2398,"Building materials, Flame retardant",Inorganic,False,False,False,True,False,False
